,year,month,day,new_york_city_temp,philadelphia_temp,pittsburgh_temp,orlando_temp,austin_temp,seattle_temp,delhi_temp,delhi_rain_inches,delhi_temp_model_one,delhi_temp_model_two
0,1995,1,1,44.0,41.3,44.1,66.7,48.1,41.3,50.7,0.0,52.347141171050666,2.0119999280001295
1,1995,1,2,41.8,37.8,25.5,63.9,39.0,39.8,52.1,0.0,52.28647297439892,2.017999757000984
2,1995,1,3,28.1,26.8,16.9,60.3,40.8,44.5,53.8,0.0,52.23311762107733,2.0239994240041472
3,1995,1,4,31.7,31.0,15.7,55.9,39.5,42.4,53.7,0.0,52.18709092142857,2.029998875012656
4,1995,1,5,21.3,19.8,7.6,52.1,34.6,39.2,54.5,0.0,52.1484065141571,2.0359980560314925
5,1995,1,6,27.9,26.9,19.6,59.1,48.4,35.9,54.3,0.0,52.11707586228768,2.0419969130680675
6,1995,1,7,42.8,38.2,32.7,70.4,50.0,39.9,57.1,0.0,52.093108249768605,2.0479953921327088
7,1995,1,8,35.5,34.9,26.5,54.4,52.7,45.9,55.6,5.6,52.076510778720746,2.0539934392391443
8,1995,1,9,34.4,33.3,26.8,51.0,58.6,49.0,54.0,61.5,52.067288367332964,2.0599910004049913
9,1995,1,10,29.9,30.6,21.4,55.4,66.2,49.3,52.4,0.0,52.0654437484048,2.0659880216522395
10,1995,1,11,30.7,32.9,32.4,60.5,69.2,47.5,54.8,0.0,52.070977468536654,2.0719844490077386
11,1995,1,12,35.5,40.5,48.9,63.3,69.1,46.0,54.5,0.0,52.08388788796782,2.0779802285036824
12,1995,1,13,47.2,51.4,59.8,68.1,57.7,47.0,55.5,0.0,52.104171181062384,2.083975306178096
13,1995,1,14,52.4,59.8,56.9,68.1,55.6,47.3,56.4,,52.13182133744287,2.0899696280753206
14,1995,1,15,56.9,65.0,58.4,61.8,54.3,44.9,55.8,1.5,52.16683016377118,2.0959631402465
15,1995,1,16,55.2,57.5,36.0,54.6,57.4,43.4,56.4,1.0,52.20918728617654,2.1019557887500646
16,1995,1,17,50.3,49.2,32.3,52.4,64.2,40.5,53.7,0.0,52.25888015332943,2.1079475196522193
17,1995,1,18,42.6,45.6,39.0,57.6,55.5,46.2,53.7,0.0,52.31589404016085,2.1139382790274253
18,1995,1,19,39.3,41.6,45.2,62.5,50.5,42.7,54.5,0.0,52.38021205222568,2.1199280129588893
19,1995,1,20,43.1,48.2,40.3,56.5,53.9,51.0,56.0,0.0,52.45181513070884,2.125916667539046
20,1995,1,21,43.2,40.4,30.5,51.9,55.1,51.0,56.3,0.0,52.53068205807287,2.131904188870045
21,1995,1,22,36.0,34.4,22.8,54.6,59.2,49.8,53.7,0.0,52.61678946434509,2.1378905230642347
22,1995,1,23,33.3,31.3,20.2,56.4,44.5,49.3,53.6,0.0,52.710111834042664,2.1438756162446473
23,1995,1,24,35.8,34.5,23.1,48.7,45.3,48.3,55.5,0.0,52.81062151373341,2.149859414545485
24,1995,1,25,38.3,38.8,22.8,48.3,51.7,50.2,58.0,0.0,52.91828872023005,2.155841864112603
25,1995,1,26,36.6,32.9,22.4,52.2,60.5,47.4,58.3,0.0,53.033081549415655,2.161822911103996
26,1995,1,27,34.3,32.0,21.5,56.6,63.4,46.9,59.8,0.0,53.15496598569749,2.1678025016902818
27,1995,1,28,28.2,29.9,28.5,63.6,61.2,48.2,61.4,0.0,53.28390591208662,2.1737805820551848
28,1995,1,29,26.0,28.0,25.5,68.7,48.8,49.6,60.3,0.0,53.41986312090009,2.179757098396022
29,1995,1,30,33.8,32.3,29.4,60.1,45.3,52.0,56.8,0.0,53.56279732508274,2.1857319969241873
30,1995,1,31,36.6,34.3,25.1,49.7,48.8,53.5,58.8,0.0,53.712666170145106,2.1917052238656343
31,1995,2,1,40.5,38.3,32.4,48.5,55.0,52.2,58.0,0.0,53.869425246713945,2.19767672546136
32,1995,2,2,40.6,40.4,32.6,54.8,61.4,47.6,57.0,0.0,54.033028103691734,2.203646447967891
33,1995,2,3,25.6,25.8,23.1,60.3,62.8,47.8,58.3,0.0,54.203426262021125,2.209614337657765
34,1995,2,4,31.3,30.6,25.9,58.2,56.7,48.6,58.5,,54.38056922905031,2.215580340820015
35,1995,2,5,24.7,22.7,10.2,51.5,57.6,48.5,58.3,0.0,54.56440451349508,2.2215444037606527
36,1995,2,6,11.1,11.4,4.2,50.0,52.5,51.1,58.5,0.0,54.754877640993186,2.227506472803152
37,1995,2,7,19.0,17.6,11.0,48.6,55.9,48.2,62.7,0.0,54.95193217024618,2.2334664942889315
38,1995,2,8,23.7,20.1,12.7,52.1,45.0,49.3,65.0,0.0,55.155509709744294,2.239424414577839
39,1995,2,9,22.3,20.3,14.9,41.2,51.1,46.3,66.3,0.0,55.365549935068984,2.2453801800486306
40,1995,2,10,33.0,30.3,29.4,52.6,58.9,44.1,67.6,0.0,55.58199060676844,2.2513337370994586
41,1995,2,11,39.6,36.6,26.4,63.8,56.5,43.3,66.5,0.0,55.8047675888005,2.257285032148349
42,1995,2,12,23.1,22.4,6.3,64.3,37.8,36.7,68.4,0.0,56.03381486753743,2.2632340116336866
43,1995,2,13,19.1,18.4,10.2,59.1,40.1,30.0,69.1,,56.26906457132732,2.2691806220146966
44,1995,2,14,27.5,26.2,18.7,63.8,40.8,28.2,66.8,7.6,56.51044699060583,2.2751248097719254
45,1995,2,15,29.8,27.5,30.8,70.0,59.1,37.5,62.4,2.8,56.75789059855265,2.2810665214077233
46,1995,2,16,39.9,37.9,37.6,71.6,56.4,43.0,62.5,0.0,57.01132207228649,2.2870057034467255
47,1995,2,17,39.4,40.6,31.7,72.5,49.6,47.1,63.5,0.0,57.27066631459219,2.2929423024363342
48,1995,2,18,40.5,37.3,35.7,73.4,52.8,47.9,66.6,0.0,57.53584647617363,2.2988762649471983
49,1995,2,19,40.6,39.3,41.9,68.7,61.1,53.9,64.0,0.0,57.806783978425884,2.3048075375736956
50,1995,2,20,43.1,43.7,40.2,63.2,63.4,56.2,64.9,0.0,58.08339853671973,2.3107360669344117
51,1995,2,21,38.1,39.9,34.6,60.7,65.7,50.3,62.1,0.0,58.365608184191714,2.316661799672623
52,1995,2,22,35.3,36.1,25.5,55.4,58.9,46.3,53.8,0.8,58.6533292960327,2.3225846824567746
